LBRRY_CD,LBRRY_NM,LBRRY_LA,LBRRY_LO,OPNNG_TIME,CLOSEDON_DC
33003,감곡도서관,37.1196808,127.6371611,"평일 09:00~22:00, 주말 09:00~18:00",매주 월요일 / 법정공휴일
33300,신안군립도서관,34.8626257,126.3177994,"평일 09:00~18:00, 주말 09:00~18:00",매주 월요일 / 법정공휴일
32200,남목도서관,35.5455715,129.4277546,09:00~18:00,매주 월요일 / 법정공휴일
32201,꽃바위작은도서관,35.4870523,129.4113238,10:00~18:00,매주 월요일 / 법정공휴일
32202,남목작은도서관,35.5424852,129.4255357,10:00~18:00,매주 월요일 / 법정공휴일
32203,전하작은도서관,35.5093691,129.4293383,10:00~18:00,매주 월요일 / 법정공휴일
32204,화정작은도서관,35.4958848,129.4226003,10:00~18:00,매주 월요일 / 법정공휴일
307,의왕시포일어울림도서관,37.3965596,126.9827991,화~금 : 09:00 ~ 22:00 / 토~일 : 09:00 ~18:00,매주 월요일 / 법정공휴일
33200,목포시립도서관,34.8035055,126.4029774,"평일 09:00~22:00, 주말 09:00~22:00","매주 둘째주, 넷째주 월요일 / 법정공휴일 / 분기말 청소일"
33201,목포어린이도서관,34.8148008,126.4256048,09:00~18:00,"매월 첫째주, 셋째주 월요일 / 법정공휴일 / 분기말대청소일"
33202,목포영어도서관,34.8148008,126.4256048,09:00~18:00,"매월 첫째주, 셋째주 월요일 / 법정공휴일 / 분기말대청소일"
33700,함안군립칠원도서관,35.30493,128.5154692,"자료실(평일 09:00~18:00, 주말 09:00~17:00), 자유열람실(09:00~22:00)",매주 월요일 / 법정공휴일
33500,김제시립도서관,35.7990764,126.8925556,"[자료실] 평일 09:00~22:00, 토요일 09:00~18:00 [열람실] 평일 08:00~22:00, 토~일요일, 국경일 08:00~18:00","신정, 설날, 추석"
33501,김제만경도서관,35.8492989,126.8169325,"[자료실] 평일 및 토요일 09:00~18:00 [열람실] 평일 08:00~22:00, 토~일요일, 국경일 08:00~18:00","신정, 설날, 추석"
33502,김제금구도서관,35.7751438,127.0125269,리모델링을 위한 휴관으로 운영하지 않음,2024.2.1~2024.9.30(예정)
33503,희망남포작은도서관,35.8098809,126.7882714,화~토 09:00~18:00,"매주 월요일, 일요일 / 공휴일"
33504,죽산작은도서관,35.7699752,126.814062,화~토 09:00~18:00,"매주 월요일, 일요일 / 공휴일"
33505,길보작은도서관,35.7997455,126.9004444,평일 09:00~18:00,"매주 토요일, 일요일 / 공휴일"
33506,새마을작은도서관,35.8016882,126.8911784,평일 09:00~18:00,"매주 토요일, 일요일 / 공휴일"
33507,검산작은도서관,35.8074283,126.8964428,평일 09:00~18:00,"매주 토요일, 일요일 / 공휴일"
33508,교동골작은도서관,35.7969055,126.8797427,평일 09:00~18:00,"매주 토요일, 일요일 / 공휴일"
33509,청하사랑작은도서관,35.9035278,126.8407117,화~토 09:00~18:00,"매주 토요일, 일요일 / 공휴일"
32900,광천공공도서관,36.4959512,126.6199846,"평일 09:00~21:00, 주말 09:00~18:00",매주 월요일 / 법정공휴일
33100,고흥군립중앙도서관,34.609695,127.2889664,"자료실 09:00~18:00 / 열람실 09:00~21:00(동절기), 09:00~22:00(하절기)",매주 월요일 / 법정공휴일
33101,고흥군립남부도서관,34.5275467,127.1415292,"자료실 09:00~18:00, 종합자료실 개관시간연장(09:00~22:00) / 열람실 09:00~21:00(동절기), 09:00~22:00(하절기)",매주 월요일 / 법정공휴일
